"X","Region","Risk","Outcome","PAF","Country","Risk.reduction.policy","Mortality.reduction.policy","Risk.reduction.tax","Mortality.reduction.tax","NCD.cause.grouping","NCD4","self_harm"
1361,"High SDI","Alcohol","Other transport injuries",0.217,"Brunei",0,0,0.1225,0.0265825,"All other noncommunicable diseases","no","no"
1362,"High SDI","Alcohol","Other unintentional injuries",0.132,"Brunei",0,0,0.1225,0.01617,"All other noncommunicable diseases","no","no"
1363,"High SDI","Alcohol","Pancreatitis",0.36,"Brunei",0,0,0.1225,0.0441,"All other noncommunicable diseases","no","no"
1364,"High SDI","Alcohol","Pedestrian road injuries",0.19,"Brunei",0,0,0.1225,0.023275,"All other noncommunicable diseases","no","no"
1365,"High SDI","Alcohol","Poisonings",0.111,"Brunei",0,0,0.1225,0.0135975,"All other noncommunicable diseases","no","no"
1366,"High SDI","Alcohol","Self-harm by firearm",0.29,"Brunei",0,0,0.1225,0.035525,"All other noncommunicable diseases","no","yes"
1367,"High SDI","Alcohol","Self-harm by other specified means",0.263,"Brunei",0,0,0.1225,0.0322175,"All other noncommunicable diseases","no","yes"
1368,"High SDI","Alcohol","Unintentional firearm injuries",0.115,"Brunei",0,0,0.1225,0.0140875,"All other noncommunicable diseases","no","no"
1369,"High SDI","Smoking","Acute lymphoid leukaemia",0.105,"Brunei",0.0837,0.0087885,NA,NA,"All other cancers","yes","no"
1370,"High SDI","Smoking","Acute myeloid leukaemia",0.133,"Brunei",0.0837,0.0111321,NA,NA,"All other cancers","yes","no"
1371,"High SDI","Smoking","All causes",0.149,"Brunei",0.0837,0.0124713,NA,NA,NA,"no","no"
1372,"High SDI","Smoking","Asthma",0.101,"Brunei",0.0837,0.0084537,NA,NA,"Chronic respiratory diseases","yes","no"
1373,"High SDI","Smoking","Bladder cancer",0.356,"Brunei",0.0837,0.0297972,NA,NA,"All other cancers","yes","no"
1374,"High SDI","Smoking","Cervical cancer",0.126,"Brunei",0.0837,0.0105462,NA,NA,"Cervix uteri cancer","yes","no"
1375,"High SDI","Smoking","Chronic lymphoid leukaemia",0.157,"Brunei",0.0837,0.0131409,NA,NA,"All other cancers","yes","no"
1376,"High SDI","Smoking","Chronic myeloid leukaemia",0.139,"Brunei",0.0837,0.0116343,NA,NA,"All other cancers","yes","no"
1377,"High SDI","Smoking","Chronic obstructive pulmonary disease",0.748,"Brunei",0.0837,0.0626076,NA,NA,"Chronic respiratory diseases","yes","no"
1378,"High SDI","Smoking","Intracerebral hemorrhage",0.119,"Brunei",0.0837,0.0099603,NA,NA,"Haemorrhagic stroke","yes","no"
1379,"High SDI","Smoking","Kidney cancer",0.21,"Brunei",0.0837,0.017577,NA,NA,"All other cancers","yes","no"
1380,"High SDI","Smoking","Larynx cancer",0.802,"Brunei",0.0837,0.0671274,NA,NA,"Upper aerodigestive tract cancers","yes","no"
1381,"High SDI","Smoking","Lip and oral cavity cancer",0.588,"Brunei",0.0837,0.0492156,NA,NA,"Upper aerodigestive tract cancers","yes","no"
1382,"High SDI","Smoking","Liver cancer due to alcohol use",0.235,"Brunei",0.0837,0.0196695,NA,NA,"Liver cancer","yes","no"
1383,"High SDI","Smoking","Liver cancer due to hepatitis B",0.197,"Brunei",0.0837,0.0164889,NA,NA,"Liver cancer","yes","no"
1384,"High SDI","Smoking","Liver cancer due to hepatitis C",0.183,"Brunei",0.0837,0.0153171,NA,NA,"Liver cancer","yes","no"
1385,"High SDI","Smoking","Liver cancer due to other causes",0.23,"Brunei",0.0837,0.019251,NA,NA,"Liver cancer","yes","no"
1386,"High SDI","Smoking","Lower respiratory infections",0.179,"Brunei",0.0837,0.0149823,NA,NA,NA,"no","no"
1387,"High SDI","Smoking","Nasopharynx cancer",0.588,"Brunei",0.0837,0.0492156,NA,NA,"Upper aerodigestive tract cancers","yes","no"
1388,"High SDI","Smoking","Esophageal cancer",0.556,"Brunei",0.0837,0.0465372,NA,NA,"Upper aerodigestive tract cancers","yes","no"
1389,"High SDI","Smoking","Other chronic respiratory diseases",0.221,"Brunei",0.0837,0.0184977,NA,NA,"Chronic respiratory diseases","yes","no"
1390,"High SDI","Smoking","Other leukaemia",0.137,"Brunei",0.0837,0.0114669,NA,NA,"All other cancers","yes","no"
1391,"High SDI","Smoking","Pancreatic cancer",0.237,"Brunei",0.0837,0.0198369,NA,NA,"All other cancers","yes","no"
1392,"High SDI","Smoking","Peptic ulcer disease",0.102,"Brunei",0.0837,0.0085374,NA,NA,"All other noncommunicable diseases","no","no"
1393,"High SDI","Smoking","Prostate cancer",0.065,"Brunei",0.0837,0.0054405,NA,NA,"Prostate cancer","yes","no"
1394,"High SDI","Smoking","Stomach cancer",0.139,"Brunei",0.0837,0.0116343,NA,NA,"Stomach cancer","yes","no"
1395,"High SDI","Smoking","Tracheal, bronchus, and lung cancer",0.799,"Brunei",0.0837,0.0668763,NA,NA,"Lung cancer","yes","no"
1396,"High-middle SDI","Alcohol","Alcohol use disorders",1,"Bulgaria",0,0,0.1225,0.1225,"All other noncommunicable diseases","no","no"
1397,"High-middle SDI","Alcohol","Alcoholic cardiomyopathy",1,"Bulgaria",0,0,0.1225,0.1225,"All other cardiovascular diseases","yes","no"
1398,"High-middle SDI","Alcohol","Assault by firearm",0.205,"Bulgaria",0,0,0.1225,0.0251125,NA,"no","no"
1399,"High-middle SDI","Alcohol","Assault by other means",0.236,"Bulgaria",0,0,0.1225,0.02891,NA,"no","no"
1400,"High-middle SDI","Alcohol","Assault by sharp object",0.237,"Bulgaria",0,0,0.1225,0.0290325,NA,"no","no"
1401,"High-middle SDI","Alcohol","Atrial fibrillation and flutter",0.123,"Bulgaria",0,0,0.1225,0.0150675,"All other cardiovascular diseases","yes","no"
1402,"High-middle SDI","Alcohol","Breast cancer",0.128,"Bulgaria",0,0,0.1225,0.01568,"Breast cancer","yes","no"
1403,"High-middle SDI","Alcohol","Cirrhosis and other chronic liver diseases due to alcohol use",1,"Bulgaria",0,0,0.1225,0.1225,"All other noncommunicable diseases","no","no"
1404,"High-middle SDI","Alcohol","Colon and rectum cancer",0.174,"Bulgaria",0,0,0.1225,0.021315,"Colon and rectum cancer","yes","no"
1405,"High-middle SDI","Alcohol","Cyclist road injuries",0.193,"Bulgaria",0,0,0.1225,0.0236425,"All other noncommunicable diseases","no","no"
1406,"High-middle SDI","Alcohol","Drowning",0.106,"Bulgaria",0,0,0.1225,0.012985,"All other noncommunicable diseases","no","no"
1407,"High-middle SDI","Alcohol","Drug-susceptible tuberculosis",0.421,"Bulgaria",0,0,0.1225,0.0515725,NA,"no","no"
1408,"High-middle SDI","Alcohol","Idiopathic epilepsy",0.263,"Bulgaria",0,0,0.1225,0.0322175,"All other noncommunicable diseases","no","no"
1409,"High-middle SDI","Alcohol","Extensively drug-resistant tuberculosis",0.61,"Bulgaria",0,0,0.1225,0.074725,NA,"no","no"
1410,"High-middle SDI","Alcohol","Fire, heat, and hot substances",0.106,"Bulgaria",0,0,0.1225,0.012985,"All other noncommunicable diseases","no","no"
1411,"High-middle SDI","Alcohol","Intracerebral hemorrhage",0.245,"Bulgaria",0,0,0.1225,0.0300125,"Haemorrhagic stroke","yes","no"
1412,"High-middle SDI","Alcohol","Hypertensive heart disease",0.179,"Bulgaria",0,0,0.1225,0.0219275,"All other cardiovascular diseases","yes","no"
1413,"High-middle SDI","Alcohol","Larynx cancer",0.393,"Bulgaria",0,0,0.1225,0.0481425,"Upper aerodigestive tract cancers","yes","no"
1414,"High-middle SDI","Alcohol","Lip and oral cavity cancer",0.597,"Bulgaria",0,0,0.1225,0.0731325,"Upper aerodigestive tract cancers","yes","no"
1415,"High-middle SDI","Alcohol","Liver cancer due to alcohol use",1,"Bulgaria",0,0,0.1225,0.1225,"Liver cancer","yes","no"
1416,"High-middle SDI","Alcohol","Lower respiratory infections",0.116,"Bulgaria",0,0,0.1225,0.01421,NA,"no","no"
1417,"High-middle SDI","Alcohol","Motor vehicle road injuries",0.158,"Bulgaria",0,0,0.1225,0.019355,"All other noncommunicable diseases","no","no"
1418,"High-middle SDI","Alcohol","Motorcyclist road injuries",0.191,"Bulgaria",0,0,0.1225,0.0233975,"All other noncommunicable diseases","no","no"
1419,"High-middle SDI","Alcohol","Multidrug-resistant tuberculosis without extensive drug resistance",0.569,"Bulgaria",0,0,0.1225,0.0697025,NA,"no","no"
1420,"High-middle SDI","Alcohol","Nasopharynx cancer",0.554,"Bulgaria",0,0,0.1225,0.067865,"Upper aerodigestive tract cancers","yes","no"
1421,"High-middle SDI","Alcohol","Esophageal cancer",0.39,"Bulgaria",0,0,0.1225,0.047775,"Upper aerodigestive tract cancers","yes","no"
1422,"High-middle SDI","Alcohol","Other pharynx cancer",0.652,"Bulgaria",0,0,0.1225,0.07987,"Upper aerodigestive tract cancers","yes","no"
1423,"High-middle SDI","Alcohol","Other road injuries",0.186,"Bulgaria",0,0,0.1225,0.022785,"All other noncommunicable diseases","no","no"
1424,"High-middle SDI","Alcohol","Other transport injuries",0.213,"Bulgaria",0,0,0.1225,0.0260925,"All other noncommunicable diseases","no","no"
1425,"High-middle SDI","Alcohol","Other unintentional injuries",0.116,"Bulgaria",0,0,0.1225,0.01421,"All other noncommunicable diseases","no","no"
1426,"High-middle SDI","Alcohol","Pancreatitis",0.517,"Bulgaria",0,0,0.1225,0.0633325,"All other noncommunicable diseases","no","no"
1427,"High-middle SDI","Alcohol","Pedestrian road injuries",0.173,"Bulgaria",0,0,0.1225,0.0211925,"All other noncommunicable diseases","no","no"
1428,"High-middle SDI","Alcohol","Poisonings",0.102,"Bulgaria",0,0,0.1225,0.012495,"All other noncommunicable diseases","no","no"
1429,"High-middle SDI","Alcohol","Self-harm by firearm",0.316,"Bulgaria",0,0,0.1225,0.03871,"All other noncommunicable diseases","no","yes"
1430,"High-middle SDI","Alcohol","Self-harm by other specified means",0.336,"Bulgaria",0,0,0.1225,0.04116,"All other noncommunicable diseases","no","yes"
1431,"High-middle SDI","Smoking","Acute myeloid leukaemia",0.105,"Bulgaria",0.0837,0.0087885,0,0,"All other cancers","yes","no"
1432,"High-middle SDI","Smoking","All causes",0.148,"Bulgaria",0.0837,0.0123876,0,0,NA,"no","no"
1433,"High-middle SDI","Smoking","Aortic aneurysm",0.178,"Bulgaria",0.0837,0.0148986,0,0,"All other cardiovascular diseases","yes","no"
1434,"High-middle SDI","Smoking","Asthma",0.141,"Bulgaria",0.0837,0.0118017,0,0,"Chronic respiratory diseases","yes","no"
1435,"High-middle SDI","Smoking","Bladder cancer",0.302,"Bulgaria",0.0837,0.0252774,0,0,"All other cancers","yes","no"
1436,"High-middle SDI","Smoking","Chronic lymphoid leukaemia",0.133,"Bulgaria",0.0837,0.0111321,0,0,"All other cancers","yes","no"
1437,"High-middle SDI","Smoking","Chronic myeloid leukaemia",0.114,"Bulgaria",0.0837,0.0095418,0,0,"All other cancers","yes","no"
1438,"High-middle SDI","Smoking","Chronic obstructive pulmonary disease",0.555,"Bulgaria",0.0837,0.0464535,0,0,"Chronic respiratory diseases","yes","no"
1439,"High-middle SDI","Smoking","Drug-susceptible tuberculosis",0.144,"Bulgaria",0.0837,0.0120528,0,0,NA,"no","no"
1440,"High-middle SDI","Smoking","Extensively drug-resistant tuberculosis",0.184,"Bulgaria",0.0837,0.0154008,0,0,NA,"no","no"
1441,"High-middle SDI","Smoking","Intracerebral hemorrhage",0.209,"Bulgaria",0.0837,0.0174933,0,0,"Haemorrhagic stroke","yes","no"
1442,"High-middle SDI","Smoking","Hypertensive heart disease",0.115,"Bulgaria",0.0837,0.0096255,0,0,"All other cardiovascular diseases","yes","no"
1443,"High-middle SDI","Smoking","Ischemic heart disease",0.153,"Bulgaria",0.0837,0.0128061,0,0,"Ischaemic heart disease","yes","no"
1444,"High-middle SDI","Smoking","Ischemic stroke",0.13,"Bulgaria",0.0837,0.010881,0,0,"Ischaemic stroke","yes","no"
1445,"High-middle SDI","Smoking","Kidney cancer",0.19,"Bulgaria",0.0837,0.015903,0,0,"All other cancers","yes","no"
1446,"High-middle SDI","Smoking","Larynx cancer",0.756,"Bulgaria",0.0837,0.0632772,0,0,"Upper aerodigestive tract cancers","yes","no"
1447,"High-middle SDI","Smoking","Lip and oral cavity cancer",0.533,"Bulgaria",0.0837,0.0446121,0,0,"Upper aerodigestive tract cancers","yes","no"
1448,"High-middle SDI","Smoking","Liver cancer due to alcohol use",0.136,"Bulgaria",0.0837,0.0113832,0,0,"Liver cancer","yes","no"
1449,"High-middle SDI","Smoking","Liver cancer due to hepatitis B",0.127,"Bulgaria",0.0837,0.0106299,0,0,"Liver cancer","yes","no"
1450,"High-middle SDI","Smoking","Liver cancer due to hepatitis C",0.162,"Bulgaria",0.0837,0.0135594,0,0,"Liver cancer","yes","no"
1451,"High-middle SDI","Smoking","Liver cancer due to other causes",0.142,"Bulgaria",0.0837,0.0118854,0,0,"Liver cancer","yes","no"
1452,"High-middle SDI","Smoking","Lower respiratory infections",0.244,"Bulgaria",0.0837,0.0204228,0,0,NA,"no","no"
1453,"High-middle SDI","Smoking","Multidrug-resistant tuberculosis without extensive drug resistanc",0.174,"Bulgaria",0.0837,0.0145638,0,0,NA,"no","no"
1454,"High-middle SDI","Smoking","Multiple sclerosis",0.117,"Bulgaria",0.0837,0.0097929,0,0,"All other noncommunicable diseases","no","no"
1455,"High-middle SDI","Smoking","Nasopharynx cancer",0.345,"Bulgaria",0.0837,0.0288765,0,0,"Upper aerodigestive tract cancers","yes","no"
1456,"High-middle SDI","Smoking","Esophageal cancer",0.393,"Bulgaria",0.0837,0.0328941,0,0,"Upper aerodigestive tract cancers","yes","no"
1457,"High-middle SDI","Smoking","Other cardiovascular and circulatory diseases",0.134,"Bulgaria",0.0837,0.0112158,0,0,"All other cardiovascular diseases","yes","no"
1458,"High-middle SDI","Smoking","Other chronic respiratory diseases",0.151,"Bulgaria",0.0837,0.0126387,0,0,"Chronic respiratory diseases","yes","no"
1459,"High-middle SDI","Smoking","Pancreatic cancer",0.182,"Bulgaria",0.0837,0.0152334,0,0,"All other cancers","yes","no"
1460,"High-middle SDI","Smoking","Peptic ulcer disease",0.186,"Bulgaria",0.0837,0.0155682,0,0,"All other noncommunicable diseases","no","no"
1461,"High-middle SDI","Smoking","Peripheral artery disease",0.113,"Bulgaria",0.0837,0.0094581,0,0,"All other cardiovascular diseases","no","no"
1462,"High-middle SDI","Smoking","Prostate cancer",0.053,"Bulgaria",0.0837,0.0044361,0,0,"Prostate cancer","yes","no"
1463,"High-middle SDI","Smoking","Stomach cancer",0.122,"Bulgaria",0.0837,0.0102114,0,0,"Stomach cancer","yes","no"
1464,"High-middle SDI","Smoking","Tracheal, bronchus, and lung cancer",0.719,"Bulgaria",0.0837,0.0601803,0,0,"Lung cancer","yes","no"
1465,"Low SDI","Alcohol","Alcohol use disorders",1,"Burkina Faso",0.269,0.269,0.1225,0.1225,"All other noncommunicable diseases","no","no"
1466,"Low SDI","Alcohol","Alcoholic cardiomyopathy",1,"Burkina Faso",0.269,0.269,0.1225,0.1225,"All other cardiovascular diseases","yes","no"
1467,"Low SDI","Alcohol","Cirrhosis and other chronic liver diseases due to alcohol use",1,"Burkina Faso",0.269,0.269,0.1225,0.1225,"All other noncommunicable diseases","no","no"
1468,"Low SDI","Alcohol","Drug-susceptible tuberculosis",0.253,"Burkina Faso",0.269,0.068057,0.1225,0.0309925,NA,"no","no"
1469,"Low SDI","Alcohol","Idiopathic epilepsy",0.138,"Burkina Faso",0.269,0.037122,0.1225,0.016905,"All other noncommunicable diseases","no","no"
1470,"Low SDI","Alcohol","Extensively drug-resistant tuberculosis",0.15,"Burkina Faso",0.269,0.04035,0.1225,0.018375,NA,"no","no"
1471,"Low SDI","Alcohol","Intracerebral hemorrhage",0.102,"Burkina Faso",0.269,0.027438,0.1225,0.012495,"Haemorrhagic stroke","yes","no"
1472,"Low SDI","Alcohol","Hypertensive heart disease",0.111,"Burkina Faso",0.269,0.029859,0.1225,0.0135975,"All other cardiovascular diseases","yes","no"
1473,"Low SDI","Alcohol","Larynx cancer",0.174,"Burkina Faso",0.269,0.046806,0.1225,0.021315,"Upper aerodigestive tract cancers","yes","no"
1474,"Low SDI","Alcohol","Lip and oral cavity cancer",0.302,"Burkina Faso",0.269,0.081238,0.1225,0.036995,"Upper aerodigestive tract cancers","yes","no"
1475,"Low SDI","Alcohol","Liver cancer due to alcohol use",1,"Burkina Faso",0.269,0.269,0.1225,0.1225,"Liver cancer","yes","no"
1476,"Low SDI","Alcohol","Multidrug-resistant tuberculosis without extensive drug resistance",0.204,"Burkina Faso",0.269,0.054876,0.1225,0.02499,NA,"no","no"
1477,"Low SDI","Alcohol","Nasopharynx cancer",0.329,"Burkina Faso",0.269,0.088501,0.1225,0.0403025,"Upper aerodigestive tract cancers","yes","no"
1478,"Low SDI","Alcohol","Esophageal cancer",0.215,"Burkina Faso",0.269,0.057835,0.1225,0.0263375,"Upper aerodigestive tract cancers","yes","no"
1479,"Low SDI","Alcohol","Other pharynx cancer",0.335,"Burkina Faso",0.269,0.090115,0.1225,0.0410375,"Upper aerodigestive tract cancers","yes","no"
1480,"Low SDI","Alcohol","Pancreatitis",0.274,"Burkina Faso",0.269,0.073706,0.1225,0.033565,"All other noncommunicable diseases","no","no"
1481,"Low SDI","Alcohol","Self-harm by firearm",0.142,"Burkina Faso",0.269,0.038198,0.1225,0.017395,"All other noncommunicable diseases","no","yes"
1482,"Low SDI","Alcohol","Self-harm by other specified means",0.14,"Burkina Faso",0.269,0.03766,0.1225,0.01715,"All other noncommunicable diseases","no","yes"
1483,"Low SDI","Smoking","Aortic aneurysm",0.128,"Burkina Faso",0.0837,0.0107136,0.771648,0.098770944,"All other cardiovascular diseases","yes","no"
1484,"Low SDI","Smoking","Chronic obstructive pulmonary disease",0.252,"Burkina Faso",0.0837,0.0210924,0.771648,0.194455296,"Chronic respiratory diseases","yes","no"
1485,"Low SDI","Smoking","Intracerebral hemorrhage",0.111,"Burkina Faso",0.0837,0.0092907,0.771648,0.085652928,"Haemorrhagic stroke","yes","no"
1486,"Low SDI","Smoking","Ischemic heart disease",0.111,"Burkina Faso",0.0837,0.0092907,0.771648,0.085652928,"Ischaemic heart disease","yes","no"
1487,"Low SDI","Smoking","Larynx cancer",0.396,"Burkina Faso",0.0837,0.0331452,0.771648,0.305572608,"Upper aerodigestive tract cancers","yes","no"
1488,"Low SDI","Smoking","Lip and oral cavity cancer",0.174,"Burkina Faso",0.0837,0.0145638,0.771648,0.134266752,"Upper aerodigestive tract cancers","yes","no"
1489,"Low SDI","Smoking","Nasopharynx cancer",0.182,"Burkina Faso",0.0837,0.0152334,0.771648,0.140439936,"Upper aerodigestive tract cancers","yes","no"
1490,"Low SDI","Smoking","Esophageal cancer",0.164,"Burkina Faso",0.0837,0.0137268,0.771648,0.126550272,"Upper aerodigestive tract cancers","yes","no"
1491,"Low SDI","Smoking","Prostate cancer",0.012,"Burkina Faso",0.0837,0.0010044,0.771648,0.009259776,"Prostate cancer","yes","no"
1492,"Low SDI","Smoking","Tracheal, bronchus, and lung cancer",0.444,"Burkina Faso",0.0837,0.0371628,0.771648,0.342611712,"Lung cancer","yes","no"
1493,"Low SDI","Alcohol","Alcohol use disorders",1,"Burundi",0.269,0.269,0.1225,0.1225,"All other noncommunicable diseases","no","no"
1494,"Low SDI","Alcohol","Alcoholic cardiomyopathy",1,"Burundi",0.269,0.269,0.1225,0.1225,"All other cardiovascular diseases","yes","no"
1495,"Low SDI","Alcohol","Cirrhosis and other chronic liver diseases due to alcohol use",1,"Burundi",0.269,0.269,0.1225,0.1225,"All other noncommunicable diseases","no","no"
1496,"Low SDI","Alcohol","Drug-susceptible tuberculosis",0.253,"Burundi",0.269,0.068057,0.1225,0.0309925,NA,"no","no"
1497,"Low SDI","Alcohol","Idiopathic epilepsy",0.138,"Burundi",0.269,0.037122,0.1225,0.016905,"All other noncommunicable diseases","no","no"
1498,"Low SDI","Alcohol","Extensively drug-resistant tuberculosis",0.15,"Burundi",0.269,0.04035,0.1225,0.018375,NA,"no","no"
1499,"Low SDI","Alcohol","Intracerebral hemorrhage",0.102,"Burundi",0.269,0.027438,0.1225,0.012495,"Haemorrhagic stroke","yes","no"
1500,"Low SDI","Alcohol","Hypertensive heart disease",0.111,"Burundi",0.269,0.029859,0.1225,0.0135975,"All other cardiovascular diseases","yes","no"
1501,"Low SDI","Alcohol","Larynx cancer",0.174,"Burundi",0.269,0.046806,0.1225,0.021315,"Upper aerodigestive tract cancers","yes","no"
1502,"Low SDI","Alcohol","Lip and oral cavity cancer",0.302,"Burundi",0.269,0.081238,0.1225,0.036995,"Upper aerodigestive tract cancers","yes","no"
1503,"Low SDI","Alcohol","Liver cancer due to alcohol use",1,"Burundi",0.269,0.269,0.1225,0.1225,"Liver cancer","yes","no"
1504,"Low SDI","Alcohol","Multidrug-resistant tuberculosis without extensive drug resistance",0.204,"Burundi",0.269,0.054876,0.1225,0.02499,NA,"no","no"
1505,"Low SDI","Alcohol","Nasopharynx cancer",0.329,"Burundi",0.269,0.088501,0.1225,0.0403025,"Upper aerodigestive tract cancers","yes","no"
1506,"Low SDI","Alcohol","Esophageal cancer",0.215,"Burundi",0.269,0.057835,0.1225,0.0263375,"Upper aerodigestive tract cancers","yes","no"
1507,"Low SDI","Alcohol","Other pharynx cancer",0.335,"Burundi",0.269,0.090115,0.1225,0.0410375,"Upper aerodigestive tract cancers","yes","no"
1508,"Low SDI","Alcohol","Pancreatitis",0.274,"Burundi",0.269,0.073706,0.1225,0.033565,"All other noncommunicable diseases","no","no"
1509,"Low SDI","Alcohol","Self-harm by firearm",0.142,"Burundi",0.269,0.038198,0.1225,0.017395,"All other noncommunicable diseases","no","yes"
1510,"Low SDI","Alcohol","Self-harm by other specified means",0.14,"Burundi",0.269,0.03766,0.1225,0.01715,"All other noncommunicable diseases","no","yes"
1511,"Low SDI","Smoking","Aortic aneurysm",0.128,"Burundi",0.201136,0.025745408,0.6192,0.0792576,"All other cardiovascular diseases","yes","no"
1512,"Low SDI","Smoking","Chronic obstructive pulmonary disease",0.252,"Burundi",0.201136,0.050686272,0.6192,0.1560384,"Chronic respiratory diseases","yes","no"
1513,"Low SDI","Smoking","Intracerebral hemorrhage",0.111,"Burundi",0.201136,0.022326096,0.6192,0.0687312,"Haemorrhagic stroke","yes","no"
1514,"Low SDI","Smoking","Ischemic heart disease",0.111,"Burundi",0.201136,0.022326096,0.6192,0.0687312,"Ischaemic heart disease","yes","no"
1515,"Low SDI","Smoking","Larynx cancer",0.396,"Burundi",0.201136,0.079649856,0.6192,0.2452032,"Upper aerodigestive tract cancers","yes","no"
1516,"Low SDI","Smoking","Lip and oral cavity cancer",0.174,"Burundi",0.201136,0.034997664,0.6192,0.1077408,"Upper aerodigestive tract cancers","yes","no"
1517,"Low SDI","Smoking","Nasopharynx cancer",0.182,"Burundi",0.201136,0.036606752,0.6192,0.1126944,"Upper aerodigestive tract cancers","yes","no"
1518,"Low SDI","Smoking","Esophageal cancer",0.164,"Burundi",0.201136,0.032986304,0.6192,0.1015488,"Upper aerodigestive tract cancers","yes","no"
1519,"Low SDI","Smoking","Prostate cancer",0.012,"Burundi",0.201136,0.002413632,0.6192,0.0074304,"Prostate cancer","yes","no"
1520,"Low SDI","Smoking","Tracheal, bronchus, and lung cancer",0.444,"Burundi",0.201136,0.089304384,0.6192,0.2749248,"Lung cancer","yes","no"
1521,"Low-middle SDI","Alcohol","Alcohol use disorders",1,"Cambodia",0.269,0.269,0.1225,0.1225,"All other noncommunicable diseases","no","no"
1522,"Low-middle SDI","Alcohol","Alcoholic cardiomyopathy",1,"Cambodia",0.269,0.269,0.1225,0.1225,"All other cardiovascular diseases","yes","no"
1523,"Low-middle SDI","Alcohol","Assault by firearm",0.103,"Cambodia",0.269,0.027707,0.1225,0.0126175,NA,"no","no"
1524,"Low-middle SDI","Alcohol","Assault by sharp object",0.111,"Cambodia",0.269,0.029859,0.1225,0.0135975,NA,"no","no"
1525,"Low-middle SDI","Alcohol","Cirrhosis and other chronic liver diseases due to alcohol use",1,"Cambodia",0.269,0.269,0.1225,0.1225,"All other noncommunicable diseases","no","no"
1526,"Low-middle SDI","Alcohol","Drug-susceptible tuberculosis",0.199,"Cambodia",0.269,0.053531,0.1225,0.0243775,NA,"no","no"
1527,"Low-middle SDI","Alcohol","Idiopathic epilepsy",0.112,"Cambodia",0.269,0.030128,0.1225,0.01372,"All other noncommunicable diseases","no","no"
1528,"Low-middle SDI","Alcohol","Extensively drug-resistant tuberculosis",0.236,"Cambodia",0.269,0.063484,0.1225,0.02891,NA,"no","no"
1529,"Low-middle SDI","Alcohol","Intracerebral hemorrhage",0.112,"Cambodia",0.269,0.030128,0.1225,0.01372,"Haemorrhagic stroke","yes","no"
1530,"Low-middle SDI","Alcohol","Larynx cancer",0.151,"Cambodia",0.269,0.040619,0.1225,0.0184975,"Upper aerodigestive tract cancers","yes","no"
1531,"Low-middle SDI","Alcohol","Lip and oral cavity cancer",0.238,"Cambodia",0.269,0.064022,0.1225,0.029155,"Upper aerodigestive tract cancers","yes","no"
1532,"Low-middle SDI","Alcohol","Liver cancer due to alcohol use",1,"Cambodia",0.269,0.269,0.1225,0.1225,"Liver cancer","yes","no"
1533,"Low-middle SDI","Alcohol","Multidrug-resistant tuberculosis without extensive drug resistance",0.201,"Cambodia",0.269,0.054069,0.1225,0.0246225,NA,"no","no"
1534,"Low-middle SDI","Alcohol","Nasopharynx cancer",0.321,"Cambodia",0.269,0.086349,0.1225,0.0393225,"Upper aerodigestive tract cancers","yes","no"
1535,"Low-middle SDI","Alcohol","Esophageal cancer",0.184,"Cambodia",0.269,0.049496,0.1225,0.02254,"Upper aerodigestive tract cancers","yes","no"
1536,"Low-middle SDI","Alcohol","Other pharynx cancer",0.304,"Cambodia",0.269,0.081776,0.1225,0.03724,"Upper aerodigestive tract cancers","yes","no"
1537,"Low-middle SDI","Alcohol","Pancreatitis",0.213,"Cambodia",0.269,0.057297,0.1225,0.0260925,"All other noncommunicable diseases","no","no"
1538,"Low-middle SDI","Alcohol","Self-harm by firearm",0.106,"Cambodia",0.269,0.028514,0.1225,0.012985,"All other noncommunicable diseases","no","yes"
1539,"Low-middle SDI","Smoking","Aortic aneurysm",0.175,"Cambodia",0.02,0.0035,0.95616,0.167328,"All other cardiovascular diseases","yes","no"
1540,"Low-middle SDI","Smoking","Asthma",0.146,"Cambodia",0.02,0.00292,0.95616,0.13959936,"Chronic respiratory diseases","yes","no"
1541,"Low-middle SDI","Smoking","Bladder cancer",0.18,"Cambodia",0.02,0.0036,0.95616,0.1721088,"All other cancers","yes","no"
1542,"Low-middle SDI","Smoking","Chronic obstructive pulmonary disease",0.279,"Cambodia",0.02,0.00558,0.95616,0.26676864,"Chronic respiratory diseases","yes","no"
1543,"Low-middle SDI","Smoking","Extensively drug-resistant tuberculosis",0.101,"Cambodia",0.02,0.00202,0.95616,0.09657216,NA,"no","no"
1544,"Low-middle SDI","Smoking","Intracerebral hemorrhage",0.215,"Cambodia",0.02,0.0043,0.95616,0.2055744,"Haemorrhagic stroke","yes","no"
1545,"Low-middle SDI","Smoking","Hypertensive heart disease",0.134,"Cambodia",0.02,0.00268,0.95616,0.12812544,"All other cardiovascular diseases","yes","no"
1546,"Low-middle SDI","Smoking","Ischemic heart disease",0.173,"Cambodia",0.02,0.00346,0.95616,0.16541568,"Ischaemic heart disease","yes","no"
1547,"Low-middle SDI","Smoking","Ischemic stroke",0.156,"Cambodia",0.02,0.00312,0.95616,0.14916096,"Ischaemic stroke","yes","no"
1548,"Low-middle SDI","Smoking","Larynx cancer",0.5,"Cambodia",0.02,0.01,0.95616,0.47808,"Upper aerodigestive tract cancers","yes","no"
